1128,141,1323,141,1323,215,1128,215
1338,147,1491,147,1491,220,1338,220
1506,157,1701,157,1701,225,1506,225
1249,242,1702,258,1700,317,1247,301
1118,257,1244,257,1244,299,1118,299
845,325,1013,325,1013,383,845,383
1023,330,1134,330,1134,383,1023,383
1144,330,1302,330,1302,393,1144,393
1309,330,1516,346,1511,406,1304,390
1523,338,1653,349,1648,406,1518,396
1806,341,1911,341,1911,393,1806,393
1921,341,1963,341,1963,393,1921,393
1664,346,1800,346,1800,399,1664,399
798,388,960,388,960,446,798,446
961,395,1064,385,1069,445,966,454
1076,393,1176,393,1176,451,1076,451
1181,394,1310,402,1307,458,1178,451
1317,399,1475,399,1475,456,1317,456
1476,405,1579,396,1584,455,1481,464
1590,404,1664,404,1664,462,1590,462
1674,404,1764,404,1764,462,1674,462
1921,404,2021,404,2021,462,1921,462
1774,409,1911,409,1911,462,1774,462
1350,464,1472,472,1469,521,1346,514
1071,603,1286,603,1286,677,1071,677
1296,614,1543,614,1543,682,1296,682
1554,614,1753,614,1753,687,1554,687
766,714,845,714,845,782,766,782
845,719,945,719,945,777,845,777
1128,729,1223,729,1223,782,1128,782
1228,726,1649,733,1648,794,1227,787
766,798,908,798,908,866,766,866
908,798,1002,798,1002,855,908,855
1128,803,1244,803,1244,861,1128,861
1239,808,1412,808,1412,866,1239,866
1417,813,1564,813,1564,866,1417,866
766,876,903,876,903,929,766,929
908,876,1034,876,1034,934,908,934
1134,879,1283,891,1279,950,1130,939
1291,887,1422,887,1422,945,1291,945
1438,892,1517,892,1517,950,1438,950
903,1029,981,1029,981,1086,903,1086
1942,1034,2058,1034,2058,1102,1942,1102
1354,1039,1449,1039,1449,1097,1354,1097
1464,1039,1569,1039,1569,1097,1464,1097
1753,1039,1932,1039,1932,1097,1753,1097
761,1134,924,1134,924,1197,761,1197
934,1139,1055,1139,1055,1197,934,1197
1065,1144,1223,1144,1223,1202,1065,1202
1244,1147,1419,1155,1417,1211,1242,1203
1422,1149,1711,1149,1711,1207,1422,1207
1953,1239,2052,1239,2052,1296,1953,1296
1396,1244,1569,1244,1569,1302,1396,1302
1874,1244,1958,1244,1958,1296,1874,1296
761,1323,955,1323,955,1380,761,1380
966,1328,1134,1328,1134,1391,966,1391
1144,1328,1307,1328,1307,1396,1144,1396
1307,1328,1401,1328,1401,1396,1307,1396
871,1417,1013,1417,1013,1475,871,1475
1874,1422,2052,1422,2052,1485,1874,1485
1396,1428,1470,1428,1470,1485,1396,1485
1459,1428,1569,1428,1569,1485,1459,1485
766,1506,918,1506,918,1569,766,1569
934,1512,1018,1512,1018,1569,934,1569
1029,1512,1144,1512,1144,1569,1029,1569
1155,1512,1265,1512,1265,1569,1155,1569
1275,1517,1338,1517,1338,1575,1275,1575
1349,1517,1475,1517,1475,1585,1349,1585
1480,1517,1622,1517,1622,1575,1480,1575
1874,1605,2054,1612,2052,1673,1872,1667
1396,1611,1575,1611,1575,1674,1396,1674
761,1695,876,1695,876,1758,761,1758
882,1695,960,1695,960,1753,882,1753
1118,1695,1359,1695,1359,1764,1118,1764
976,1701,1107,1701,1107,1753,976,1753
