365,301,427,296,429,314,367,319
255,307,361,301,362,321,256,327
406,326,448,326,448,342,406,342
373,329,405,329,405,346,373,346
340,332,372,332,372,349,340,349
304,334,338,334,338,352,304,352
272,337,301,337,301,354,272,354
234,338,271,340,270,356,234,354
125,374,156,374,156,389,125,389
395,391,464,385,466,412,398,418
344,394,393,394,393,422,344,422
286,400,340,400,340,426,286,426
232,401,282,401,282,430,232,430
506,414,544,414,544,434,506,434
448,423,505,418,506,437,449,441
398,430,428,423,433,442,403,450
362,430,400,430,400,448,362,448
295,436,333,434,334,451,296,454
253,438,277,438,277,456,253,456
509,444,533,444,533,462,509,462
182,445,228,445,228,462,182,462
146,446,180,446,180,464,146,464
460,448,506,447,507,466,461,468
381,456,457,449,458,467,382,474
318,463,378,457,379,474,320,480
276,465,316,461,318,480,277,483
140,474,274,464,275,483,141,493
524,470,560,468,562,487,525,490
500,472,529,472,529,490,500,490
406,481,440,477,443,495,408,500
384,482,410,482,410,498,384,498
286,489,320,489,320,504,286,504
525,502,552,502,552,520,525,520
488,504,522,504,522,522,488,522
448,510,485,507,486,524,449,527
413,510,446,510,446,529,413,529
356,518,409,515,410,533,357,536
322,517,356,517,356,536,322,536
278,521,320,517,322,537,280,541
141,531,275,520,277,540,142,550
532,529,568,529,568,548,532,548
505,532,534,532,534,549,505,549
412,537,446,537,446,557,412,557
386,541,414,541,414,557,386,557
287,548,321,546,322,561,288,563
273,592,282,592,282,605,273,605
181,592,210,592,210,612,181,612
136,593,181,593,181,614,136,614
542,593,577,593,577,613,542,613
516,596,545,596,545,616,516,616
136,619,183,620,182,643,135,641
184,619,228,621,227,640,183,638
545,624,580,624,580,644,545,644
518,628,548,628,548,646,518,646
349,638,391,634,393,654,351,658
237,640,270,640,270,661,237,661
180,645,236,645,236,665,180,665
137,647,178,645,179,666,138,668
443,672,577,664,578,684,444,692
392,676,442,676,442,697,392,697
220,686,388,675,390,696,221,707
160,688,184,688,184,710,160,710
186,689,220,689,220,708,186,708
394,706,430,706,430,726,394,726
342,710,392,710,392,733,342,733
306,713,340,713,340,732,306,732
456,726,511,723,513,742,457,746
422,729,456,729,456,748,422,748
397,732,421,732,421,749,397,749
364,733,397,733,397,753,364,753
326,736,361,736,361,753,326,753
301,738,324,738,324,756,301,756
236,741,273,741,273,760,236,760
276,742,298,742,298,756,276,756
204,744,233,744,233,762,204,762
